Ciudad,Departamento,Latitud,Longitud,Radio,Monogramas,Tweets,Vocabulario,Usuarios
Sabana de Torres,Santander,"7,394813","-73,508831",7,46601,4802,8140,898
Sabanalarga,Atlántico,"10,627571","-74,938687",7,534402,52561,37301,2863
Sahagún,Cordoba,"8,306008","-75,481771",7,387288,38143,29653,1931
Samaná,Caldas,"5,413252","-74,993706",7,21735,2114,5039,466
Samaniego,Nariño,"1,332656","-77,610191",7,13290,1267,3673,406
San Agustín,Huila,"1,879898","-76,269634",7,381057,37127,30267,2849
San Alberto,Cesar,"7,761408","-73,393787",7,29887,2951,6149,745
San Andrés,San Andrés y Prov.,"12,584722","-81,700556",15,587296,54132,40050,8828
San Andrés Sotavento,Cordoba,"9,146764","-75,517793",7,534045,50151,38243,3532
San Antonio,Tolima,"3,914121","-75,488637",7,11642,1244,3012,249
San Gil,Santander,"6,552685","-73,153674",7,1228158,121530,45157,5896
San José del Guaviare,Guaviare,"2,569392","-72,656425",7,128012,12494,15536,1142
San Juan del Cesar,La Guajira,"10,795538","-73,386757",7,15793,1556,3369,627
San Juan Nepomuceno,Bolivar,"9,951182","-75,101381",7,49670,4826,8347,762
San Luis,Antioquia,"6,042465","-74,999460",7,22728,2299,4978,958
San Marcos,Sucre,"8,662619","-75,146425",7,36346,3446,6996,611
San Onofre,Sucre,"9,737993","-75,526849",7,26996,2846,5428,926
San Vicente de Chucurí,Santander,"6,878543","-73,419540",7,122068,12441,14789,1422
San Vicente del Caguán,Caquetá,"2,112946","-74,781492",7,23689,2172,5489,420
Santa Bárbara,Antioqui,"5,874270","-75,575197",7,105436,10485,14410,2651
Santa Fe de Antioquia,Antioquia,"6,559478","-75,831992",7,110053,10999,14309,3473
Santa Marta,Magdalena,"11,240791","-74,199040",15,7100708,685928,167174,30962
Santa Rosa del Sur,Bolivar,"7,964041","-74,060261",7,15011,1386,3772,287
Santander de Quilichao,Cauca,"3,012323","-76,502086",7,195084,18634,20774,1766
Saravena,Arauca,"6,956149","-71,890147",7,45633,4329,8201,618
Sardinata,Norte de Santander,"8,085103","-72,804325",7,13604,1307,3580,329
Segovia,Antioquia,"7,079898","-74,699932",7,20882,1880,4817,436
Sevilla,Valle del Cauca,"4,157721","-76,168841",5,449515,42400,33590,3702
Sibundoy,Nariño,"1,202535","-76,930001",7,1279011,119376,63179,7539
Sincelejo,Sucre,"9,304722","-75,397778",15,4095449,397457,122719,16604
Soatá,Boyaca,"6,333357","-72,687388",7,34243,3443,6744,678
Sogamoso,Boyaca,"5,723872","-72,954686",5,956028,94198,49803,7267
Sonson,Antioquia,"5,712023","-75,318575",7,35650,3489,7206,718
Suesca,Cundinamarca,"5,103950","-73,807408",7,1737825,190988,67736,12019
Tame,Arauca,"6,457178","-71,780621",7,29215,2641,6001,571
Tarazá,Antioquia,"7,583213","-75,408743",7,16060,1605,4189,466
Tauramena,Casanare,"5,010173","-72,768048",7,41044,3940,7939,695
Tello,Huila,"3,067361","-75,142494",7,129919,13126,15318,2015
Tibú,Norte de Santander,"8,642398","-72,750007",7,30376,2667,6419,509
Tierralta,Cordoba,"8,171613","-76,079866",7,60015,5805,9642,735
Timaná,Huila,"1,973824","-75,941303",7,79480,7818,11988,1523
Tiquisio,Bolivar,"8,555931","-74,270032",7,6489,565,2078,157
Tocaima,Cundinamarca,"4,460487","-74,653434",7,131969,13849,12528,2405
Toledo,Norte de Santander,"7,305364","-72,488684",7,446560,47966,31492,2735
Toribio,Cauca,"2,956312","-76,279176",7,207300,19965,21525,1805
Trinidad,Casanare,"5,407826","-71,665744",7,8388,808,2620,247
Tuluá,Valle del Cauca,"4,084656","-76,195360",15,2548538,255931,95794,13823
Tumaco,Nariño,"1,787519","-78,799860",7,79181,7304,12289,1213
Tunja,Boyacá,"5,535278","-73,367778",15,2774834,256913,84776,17733
Tuquerres,Nariño,"1,085782","-77,636194",7,22025,2153,5179,593
Turbo,Antioquia,"8,085582","-76,748706",7,84277,7536,12669,1015
Ubaté,Cundinamarca,"5,312066","-73,835775",7,167851,15943,18321,3165
Uribia,La Guajira,"11,716254","-72,268980",7,49438,4535,8174,792
Urrao,Antioquia,"6,313904","-76,149363",7,18333,1730,4349,348
Valencia,Córdoba,"8,256829","-76,165489",7,59431,5773,9603,732
Valledupar,Cesar,"10,463140","-73,253224",15,7481579,660127,179320,22711
Venadillo,Tolima,"4,717254","-74,934063",7,31089,3340,6068,869
Ventaquemada,Boyacá,"5,367160","-73,523541",7,188146,17939,19483,4484
Villa de Leyva,Boyacá,"5,636521","-73,535835",7,1278354,118543,62064,13587
Villanueva_Casanare,Casanare,"4,611295","-72,946908",7,38940,3903,7407,943
Villanueva_Guajira,La Guajira,"10,604837","-72,989075",7,376732,36464,28284,1863
Villavicencio,Meta,"4,142002","-73,626645",15,4208021,375201,130388,27088
Villeta,Cundinamarca,"5,014083","-74,487759",7,323566,31872,28762,6729
Vistahermosa,Meta,"3,127905","-73,761289",7,6678,599,2239,204
Yacopí,Cundinamarca,"5,460025","-74,342913",7,14270,1447,3473,260
Yarumal,Antioquia,"6,964042","-75,428136",7,48410,5093,8582,807
Yolombó,Antioquia,"6,599992","-75,032333",7,21982,2212,5047,743
Yopal,Casanare,"5,337752","-72,395859",15,905813,79805,54391,6774
Zarzal,Valle del Cauca,"4,393728","-76,072641",7,534321,50522,33212,2793
Zipaquirá,Cundinamarca,"5,021518","-74,006701",7,2844050,307080,77838,15825
,,,,,291449397,27943267,9016016,1506216
