	Acandí	Riosucio	Bahía Solano (o Ciudad Mutis)	Coredó	Tutunendo	Arusí	Cérteguí	Nóvita	Cartago	Toro	Roldanillo	Buenaventura	Sevilla	Andalucía	Darién (o Calima)	Buga	Dagua	Ginebra	Palmira	Cali	Florida	Robles	Timbiquí	San Juan de Mechengue	Santander de Quilichao	Morales	Silvia	Patía (El Bordo)	Bolívar	Popayán	La Sierra	Iscuandé	Tumaco	Barbacoas1	Ricaurte2	La Cruz	La Florida	Potosí	Mocoa	San Antero	Puerto Escondido	Cereté	Sahagún	Tres Palmas	Tierra Alta	Planeta Rica	Ayapel	Turbo	Nechí	Caucasia	Chigorodó	Ituango	Dabeiba	Frontino	Cáceres	Zaragoza	Remedios	Yarumal	Amalfi	Yolombó	Santa Fe de Antioquia	San Pedro1	Urrao	Heliconia	Concordia	Montebello	Betania	Jardín	Santo Domingo	Puerto Berrío	Rionegro1	Cocorná	Sonsón	Mistrató	Santuario	Pereira	Pácora	Samaná	Aranzazu	Manzanares	Manizales	Calarcá	Mariquita	Herveo	El Líbano	Ambalema	Santa Isabel	San Antonio	Ibagué	Coello	San Luis	Cunday	Ortega	Purificación	Chaparral	Planadas	Natagaima	Alpujarra	Baraya	Santa María	Nátaga	Gigante	Neiva	Timaná	San Agustín	San Vicente del Caguán	Florencia	San Onofre	Tolú	San Pedro2	Corozal	San Benito Abad	Majagual	Puerto Colombia	Luruaco	Manatí	Villanueva	La Boquilla	Turbaco	Mahates	San Basilio de Palenque	María La Baja	San Juan Nepomuceno	El Carmen2	Mompós	San Martín de Loba	Simití	Bocas del Rosario	Puerto Wilches	Sabana de Torres	Suratá	Barrancabermeja	Rionegro2	Tona	Girón	San Vicente de Chucurí	Guaca	Aratoca	Málaga	Cimitarra	Suaita	Vélez	Jesús María	Simacota	Onzaga	Charalá	Güicán	Moniquirá	Saboyá	Muzo	Ráquira	Jericó	Socha	Duitama	Sotaquirá	Monguí	Firavitoba	Labranzagrande	Siachoque	Aquitania	Turmequé	Tenza	Miraflores	San Luis de Gaceno	Caparrapí	Paime	Simijaca	Ubaté	Villapinzón	Pacho	Guaduas	Tenjo	Facatativá	La Mesa	Bogotá	Nemocón	Manta	Guasca	Gachetá	Gachalá	Fómeque	Medina	Tocaima	Pasca	Pandi	Gutiérrez	Quetame	Restrepo	San Martín	Puerto López	Sitionuevo	Taganga	Ciénaga	Aracataca	Pivijay	Pedraza	Plato	El Difícil	Riohacha	Palomino	Barbacoas2	Uribia	Carraipía	Fonseca	Caracolí	Valledupar	Codazzi	Chiriguaná	Pailitas	La Jagua de Ibirico	Gamarra	Loma de Corredor	El Tarra	El Carmen1	San Calixto	Ocaña	Ábrego	Sardinata	Villacaro	Salazar de las Palmas	Puerto Villamizar	Ricaurte1	Cúcuta	Cáchira	Bochalema	Herrán	Pamplona	San Bernardo de Bata	Chitagá	Arauca	Tame	Pore	Trinidad	Yopal	Tauramena	Maní	Orocué
Dabeiba	0.847697	0.847464	0.842773	0.843454	0.822871	0.865252	0.839795	0.824415	0.807554	0.798196	0.829539	0.848041	0.779443	0.798045	0.785129	0.830098	0.822297	0.847165	0.8301	0.816369	0.809309	0.83588	0.835313	0.878591	0.816122	0.830368	0.831116	0.832451	0.845474	0.816764	0.83374	0.878235	0.848939	0.842573	0.83336	0.871925	0.840189	0.821178	0.832853	0.855421	0.878172	0.904474	0.860677	0.89423	0.871225	0.85539	0.873609	0.831522	0.800777	0.81205	0.81398	0.729266	0	0.722353	0.812072	0.779202	0.725612	0.73068	0.739268	0.733874	0.74756	0.723177	0.721053	0.728195	0.735715	0.760081	0.752466	0.719433	0.745615	0.735021	0.772288	0.774481	0.717547	0.765007	0.773998	0.776496	0.76495	0.791273	0.760189	0.745434	0.765463	0.760277	0.829063	0.772393	0.832943	0.847532	0.816882	0.850363	0.817937	0.858923	0.847619	0.858466	0.830776	0.868747	0.86765	0.817724	0.831515	0.869324	0.853125	0.843033	0.853578	0.857717	0.872284	0.847008	0.859196	0.842705	0.842612	0.865669	0.862025	0.845478	0.86737	0.866091	0.873613	0.853315	0.869606	0.847326	0.843291	0.872163	0.851742	0.861969	0.879102	0.857565	0.836365	0.862994	0.822228	0.853368	0.83903	0.848796	0.877601	0.836877	0.851958	0.8323	0.871865	0.870953	0.856381	0.857988	0.876042	0.857104	0.849743	0.857602	0.848807	0.84396	0.843889	0.857984	0.849706	0.861814	0.850909	0.862715	0.867294	0.850777	0.862316	0.866974	0.860389	0.860763	0.836197	0.853702	0.855687	0.866112	0.852454	0.85052	0.874483	0.854355	0.861155	0.831819	0.843514	0.858425	0.891542	0.851212	0.868073	0.859388	0.855772	0.866207	0.864749	0.861774	0.835342	0.846808	0.851604	0.840864	0.841978	0.847932	0.854382	0.872434	0.878749	0.847806	0.859804	0.865374	0.855197	0.854313	0.859928	0.840239	0.830781	0.854509	0.851147	0.84823	0.867756	0.876278	0.861309	0.865694	0.878291	0.877115	0.873103	0.862609	0.872006	0.847787	0.880516	0.862127	0.864651	0.85391	0.857725	0.87153	0.851736	0.89505	0.858703	0.866345	0.850442	0.85376	0.868359	0.888798	0.870805	0.876951	0.855919	0.85641	0.869493	0.842963	0.869736	0.858411	0.863525	0.860015	0.827217	0.843727	0.849378	0.876747	0.847994	0.85634	0.832274	0.867881	0.859734
Frontino	0.843454	0.860462	0.830429	0.839277	0.815151	0.859535	0.866854	0.849486	0.788511	0.804864	0.816066	0.799703	0.7686	0.780265	0.776714	0.799632	0.788208	0.813513	0.805363	0.80279	0.784029	0.825827	0.819672	0.869927	0.798474	0.819003	0.84472	0.825526	0.823462	0.830209	0.827782	0.866233	0.849912	0.834481	0.866014	0.849865	0.852346	0.832851	0.848324	0.845353	0.878424	0.874608	0.874387	0.864514	0.856167	0.875356	0.886384	0.846402	0.765809	0.773472	0.736882	0.72198	0.722353	0	0.806026	0.724987	0.780001	0.765992	0.747812	0.739588	0.767968	0.779538	0.7327	0.74368	0.753389	0.752528	0.730461	0.753056	0.76433	0.766651	0.737916	0.754191	0.736791	0.762313	0.795865	0.775934	0.795541	0.800715	0.791515	0.757137	0.782359	0.762342	0.822693	0.791958	0.846241	0.82837	0.820112	0.829306	0.821867	0.869609	0.818764	0.872137	0.828743	0.852981	0.845107	0.802519	0.823071	0.856903	0.843751	0.85591	0.845737	0.826437	0.815333	0.818377	0.844143	0.845025	0.818006	0.857436	0.87676	0.844406	0.876675	0.850338	0.87351	0.849042	0.889461	0.876905	0.847138	0.851132	0.860991	0.874151	0.874996	0.864033	0.873267	0.877292	0.839057	0.85315	0.851612	0.874188	0.87432	0.856828	0.85219	0.848708	0.861722	0.874646	0.879414	0.860017	0.886432	0.862729	0.856322	0.840621	0.84791	0.843368	0.850801	0.858636	0.85974	0.842483	0.871513	0.846335	0.839396	0.870949	0.835162	0.847538	0.867877	0.866647	0.845196	0.86243	0.868508	0.853679	0.850318	0.872009	0.87349	0.866665	0.84974	0.850688	0.845423	0.860078	0.85564	0.848397	0.864957	0.852911	0.839059	0.847479	0.873348	0.883019	0.817993	0.8684	0.840715	0.860944	0.834798	0.838349	0.857074	0.848355	0.853595	0.856159	0.881106	0.853939	0.864083	0.839838	0.828748	0.849975	0.841621	0.852627	0.857614	0.87479	0.880734	0.879922	0.862825	0.874973	0.846296	0.862998	0.876455	0.854941	0.870262	0.860194	0.84311	0.878087	0.870011	0.863482	0.851822	0.840162	0.886039	0.882136	0.844498	0.858433	0.87532	0.882649	0.878896	0.861451	0.882215	0.865768	0.875396	0.879014	0.884557	0.863612	0.871948	0.866209	0.866006	0.857699	0.861851	0.85924	0.861966	0.869124	0.869328	0.869441	0.844477	0.862514	0.889324
Cáceres	0.797665	0.815805	0.820791	0.832299	0.784171	0.850755	0.807251	0.804448	0.809319	0.822545	0.846272	0.812783	0.804322	0.830797	0.803147	0.827303	0.812412	0.835258	0.841568	0.844032	0.827528	0.817344	0.834596	0.818008	0.837159	0.847025	0.866911	0.812042	0.829945	0.84996	0.832593	0.83525	0.861674	0.834049	0.841659	0.846855	0.83799	0.862219	0.857257	0.807243	0.808658	0.795095	0.803643	0.798352	0.810191	0.78607	0.794873	0.830795	0.786444	0.740183	0.802096	0.797182	0.812072	0.806026	0	0.760067	0.800694	0.785705	0.80559	0.806687	0.773264	0.813221	0.788723	0.803414	0.831549	0.785254	0.785663	0.81989	0.790634	0.793504	0.817181	0.792109	0.814468	0.797056	0.788652	0.787346	0.798922	0.800958	0.816433	0.784546	0.812153	0.803885	0.809882	0.816	0.825387	0.836691	0.820963	0.834994	0.816729	0.834904	0.832192	0.827048	0.835049	0.836521	0.836502	0.832929	0.843043	0.827924	0.801535	0.80215	0.819875	0.828344	0.840809	0.820459	0.845694	0.862956	0.836828	0.817476	0.82729	0.817603	0.831514	0.814445	0.798987	0.816588	0.816251	0.831175	0.814357	0.805877	0.827651	0.821252	0.809263	0.82418	0.809909	0.814022	0.793419	0.853248	0.841929	0.819463	0.823762	0.844401	0.859115	0.808328	0.867226	0.847119	0.882013	0.882251	0.858308	0.866105	0.845591	0.848264	0.848849	0.873401	0.838284	0.85868	0.871284	0.873291	0.895936	0.864403	0.878867	0.827323	0.864091	0.873882	0.855072	0.868284	0.894374	0.875878	0.864606	0.843682	0.889742	0.883067	0.877356	0.857007	0.853861	0.869757	0.861077	0.86318	0.868298	0.868404	0.849157	0.853175	0.849933	0.858625	0.8615	0.847509	0.856896	0.84516	0.84027	0.8503	0.851509	0.838559	0.869887	0.817365	0.838322	0.830073	0.831356	0.863626	0.868952	0.874985	0.834204	0.837033	0.796476	0.804873	0.801009	0.831824	0.808911	0.826196	0.82987	0.799233	0.797838	0.824522	0.845676	0.824396	0.835633	0.818147	0.799971	0.841912	0.80198	0.801051	0.810568	0.799805	0.830064	0.816897	0.841196	0.840866	0.816648	0.809484	0.828772	0.85144	0.834631	0.870207	0.860714	0.874244	0.825485	0.84407	0.838569	0.854188	0.844418	0.855337	0.876242	0.826387	0.836869	0.849923	0.86286	0.866173	0.864205	0.866121	0.828989
Zaragoza	0.818238	0.809388	0.821485	0.827327	0.823048	0.839758	0.846124	0.830874	0.803611	0.79229	0.813723	0.816518	0.811602	0.811854	0.809772	0.814687	0.827505	0.826002	0.82421	0.814064	0.814074	0.809543	0.826708	0.876959	0.805102	0.821512	0.869825	0.852171	0.830524	0.813412	0.838405	0.865527	0.858954	0.82297	0.85039	0.854138	0.838074	0.851413	0.834576	0.815884	0.818464	0.846443	0.821053	0.841272	0.837048	0.842651	0.827979	0.831891	0.672048	0.730086	0.720262	0.750769	0.779202	0.724987	0.760067	0	0.770794	0.764308	0.761113	0.760912	0.772397	0.770369	0.727701	0.761885	0.790206	0.793686	0.746667	0.781646	0.781156	0.763448	0.798026	0.800744	0.784579	0.7875	0.784543	0.785694	0.809898	0.820937	0.782231	0.794526	0.771338	0.785386	0.840536	0.812716	0.83337	0.824992	0.841662	0.818414	0.833583	0.846967	0.84609	0.860453	0.825213	0.827698	0.863888	0.817901	0.818134	0.868658	0.829533	0.833498	0.838379	0.852822	0.823556	0.838813	0.8378	0.844661	0.793993	0.84359	0.830793	0.815196	0.815469	0.803929	0.813693	0.828635	0.847968	0.849771	0.831373	0.81134	0.836026	0.817382	0.865621	0.830535	0.820064	0.819493	0.821809	0.8	0.822891	0.811824	0.831105	0.859182	0.868518	0.793622	0.873345	0.863818	0.878394	0.880606	0.861184	0.850442	0.846333	0.858514	0.837182	0.846048	0.855084	0.876192	0.869514	0.874475	0.853561	0.85916	0.874459	0.874577	0.838343	0.872511	0.883555	0.876368	0.852504	0.882556	0.861393	0.884148	0.870801	0.879528	0.875022	0.861214	0.854052	0.843935	0.835119	0.875221	0.86672	0.861979	0.888418	0.847589	0.864048	0.866987	0.87536	0.865517	0.818441	0.862298	0.862275	0.857646	0.85589	0.860187	0.88287	0.849485	0.849414	0.863406	0.861199	0.862856	0.870632	0.854455	0.845593	0.830187	0.805195	0.7854	0.789442	0.802928	0.846764	0.831323	0.828088	0.826273	0.797693	0.830631	0.805037	0.812966	0.82696	0.810132	0.816635	0.835211	0.812847	0.819284	0.848101	0.808965	0.845577	0.827687	0.875095	0.82937	0.847339	0.853036	0.856075	0.884472	0.874354	0.868316	0.875272	0.859895	0.854906	0.871333	0.848238	0.885664	0.861697	0.877102	0.863884	0.850761	0.863063	0.868282	0.881566	0.844624	0.842982	0.878449	0.854458
Remedios	0.867483	0.83334	0.868126	0.839006	0.846026	0.851245	0.84245	0.840695	0.807803	0.790847	0.795902	0.828742	0.76758	0.800496	0.778765	0.822943	0.816574	0.828799	0.846919	0.813357	0.837281	0.840881	0.856412	0.849792	0.822749	0.82523	0.854884	0.872889	0.874795	0.830441	0.857638	0.884592	0.838072	0.85227	0.866002	0.871986	0.86211	0.871069	0.819966	0.879278	0.901254	0.907837	0.900242	0.896654	0.870947	0.845174	0.866599	0.832069	0.805161	0.788026	0.800235	0.744607	0.725612	0.780001	0.800694	0.770794	0	0.714536	0.728962	0.723994	0.76513	0.759604	0.722458	0.742231	0.698081	0.760949	0.745542	0.707374	0.773756	0.744286	0.773465	0.775719	0.718627	0.773423	0.787353	0.793391	0.77758	0.748358	0.7798	0.789733	0.793684	0.779728	0.822381	0.798779	0.831447	0.845018	0.809292	0.843659	0.829278	0.870638	0.840999	0.843469	0.841565	0.855064	0.864269	0.807537	0.850247	0.862343	0.849519	0.841461	0.834851	0.852781	0.861293	0.84591	0.878064	0.834725	0.828297	0.884736	0.864368	0.877044	0.873163	0.869345	0.877315	0.855656	0.883407	0.885417	0.89498	0.852805	0.881704	0.870759	0.877071	0.87784	0.875022	0.863386	0.858615	0.858515	0.855458	0.8544	0.857821	0.845635	0.853443	0.829013	0.885613	0.863765	0.855831	0.855677	0.865762	0.885766	0.848909	0.849041	0.835926	0.855528	0.837754	0.857517	0.868419	0.866018	0.874964	0.843554	0.860834	0.855377	0.86678	0.884581	0.84926	0.863971	0.86994	0.892113	0.858207	0.86012	0.85314	0.871232	0.893934	0.854156	0.877622	0.829633	0.85442	0.834524	0.871832	0.862521	0.871918	0.847024	0.84594	0.881267	0.873053	0.883265	0.825608	0.866301	0.865892	0.885275	0.872539	0.865311	0.839539	0.864099	0.856908	0.834071	0.849541	0.855739	0.86537	0.874328	0.841003	0.854482	0.86146	0.849805	0.854027	0.881269	0.903062	0.874838	0.888335	0.869843	0.875169	0.880673	0.884695	0.848546	0.891018	0.869068	0.8787	0.877413	0.872207	0.852107	0.869062	0.871396	0.892338	0.891298	0.853103	0.854323	0.860024	0.868623	0.882342	0.86935	0.876783	0.88323	0.876044	0.85272	0.877014	0.867453	0.887143	0.864943	0.877862	0.853619	0.856194	0.872604	0.855071	0.877779	0.874773	0.875591	0.84071	0.849803	0.847047
Yarumal	0.846728	0.844407	0.837814	0.839606	0.799849	0.866722	0.805633	0.824455	0.811032	0.793318	0.804325	0.85814	0.774901	0.81187	0.796898	0.817693	0.830724	0.808504	0.835478	0.801026	0.813641	0.81929	0.831186	0.871598	0.820849	0.812292	0.859091	0.84223	0.854011	0.825008	0.834417	0.879733	0.859761	0.853465	0.858215	0.867249	0.847299	0.853502	0.850385	0.869009	0.869139	0.881234	0.880499	0.88959	0.864356	0.859376	0.86815	0.847634	0.792438	0.799763	0.783316	0.739003	0.73068	0.765992	0.785705	0.764308	0.714536	0	0.699689	0.704883	0.718931	0.725439	0.729327	0.717158	0.714795	0.760495	0.723693	0.674601	0.751941	0.723043	0.764174	0.74659	0.728681	0.783356	0.769326	0.779327	0.769856	0.752528	0.750775	0.744282	0.758655	0.777517	0.812798	0.753505	0.842293	0.838583	0.826613	0.834599	0.834632	0.848019	0.850757	0.846584	0.845463	0.849015	0.86242	0.804067	0.842542	0.884355	0.840223	0.834556	0.845991	0.82651	0.847559	0.819768	0.878926	0.846107	0.839057	0.854463	0.86405	0.896397	0.892891	0.842237	0.851935	0.845587	0.872112	0.867775	0.875932	0.850128	0.878841	0.87373	0.881634	0.863517	0.865934	0.861357	0.845688	0.884973	0.841936	0.863215	0.859306	0.870931	0.870302	0.80522	0.851741	0.867966	0.855638	0.864959	0.855903	0.865792	0.858834	0.86759	0.843689	0.849877	0.864188	0.874286	0.87012	0.8316	0.862397	0.867206	0.857133	0.864454	0.838104	0.882748	0.882422	0.888561	0.856936	0.881341	0.873414	0.837053	0.862925	0.883777	0.882769	0.835287	0.859353	0.861436	0.842527	0.868936	0.868253	0.863959	0.877981	0.878647	0.841049	0.866939	0.874588	0.862035	0.854413	0.877521	0.875601	0.897476	0.855001	0.882141	0.846472	0.876514	0.85493	0.886019	0.864952	0.858903	0.862899	0.851467	0.83535	0.84679	0.866839	0.858299	0.836106	0.861537	0.87453	0.880491	0.9	0.877371	0.86092	0.855088	0.877822	0.853658	0.873815	0.870084	0.865452	0.862816	0.863476	0.881738	0.86916	0.87547	0.868582	0.897164	0.86548	0.852082	0.854161	0.833719	0.852024	0.865571	0.86342	0.873103	0.887467	0.865796	0.864173	0.871498	0.85688	0.870367	0.835679	0.892097	0.861815	0.877363	0.842387	0.880255	0.883856	0.8609	0.850757	0.855989	0.842554
Amalfi	0.83523	0.849478	0.829608	0.82171	0.810402	0.843086	0.823292	0.845245	0.790939	0.76303	0.800241	0.837058	0.770659	0.790972	0.797439	0.815914	0.823494	0.794109	0.81474	0.816583	0.804122	0.820526	0.81948	0.86202	0.817956	0.806854	0.843215	0.857643	0.849606	0.81866	0.840202	0.878552	0.82645	0.831364	0.863133	0.862113	0.82786	0.852337	0.838908	0.848237	0.864039	0.885995	0.86078	0.868584	0.868045	0.850459	0.868852	0.830613	0.794762	0.777723	0.779146	0.744041	0.739268	0.747812	0.80559	0.761113	0.728962	0.699689	0	0.709147	0.734064	0.754609	0.71816	0.728467	0.692413	0.750137	0.719658	0.682288	0.749828	0.74859	0.702652	0.750734	0.711274	0.772864	0.762969	0.765504	0.743981	0.75469	0.774089	0.741706	0.75119	0.765329	0.824575	0.753709	0.82075	0.843163	0.801387	0.832406	0.838702	0.859133	0.842415	0.836997	0.843662	0.850475	0.871207	0.79211	0.858051	0.872317	0.833442	0.839602	0.844357	0.821547	0.84469	0.835029	0.859765	0.846766	0.825143	0.861082	0.858629	0.870956	0.862838	0.849621	0.849331	0.843566	0.872799	0.864122	0.849922	0.848357	0.870135	0.872168	0.862512	0.860824	0.873662	0.85647	0.836414	0.875258	0.854772	0.840146	0.861794	0.837674	0.857178	0.811995	0.857155	0.870727	0.863143	0.85901	0.829775	0.856645	0.840229	0.837137	0.845845	0.847683	0.839426	0.849393	0.850089	0.852336	0.843658	0.842586	0.848605	0.855834	0.830715	0.854544	0.876358	0.853839	0.85909	0.864621	0.858971	0.857403	0.855189	0.875081	0.870211	0.831336	0.846388	0.822864	0.82469	0.844861	0.856061	0.837107	0.850049	0.857686	0.838299	0.861808	0.848692	0.865514	0.815754	0.85709	0.851463	0.880056	0.849457	0.865506	0.848304	0.862191	0.822013	0.872992	0.848996	0.856639	0.851976	0.851493	0.822689	0.849718	0.874579	0.850868	0.841481	0.858095	0.881307	0.852239	0.874425	0.86867	0.847542	0.85743	0.852915	0.851763	0.873564	0.868627	0.868414	0.864908	0.858867	0.862774	0.86217	0.873253	0.839453	0.879959	0.841946	0.859942	0.840534	0.854141	0.84831	0.876327	0.849354	0.871568	0.857742	0.87073	0.871884	0.839378	0.869882	0.856719	0.865127	0.852429	0.855813	0.853898	0.83923	0.839546	0.871149	0.846801	0.828172	0.861473	0.865115
Yolombó	0.831493	0.857082	0.836581	0.815309	0.828713	0.833617	0.840633	0.827273	0.798635	0.796765	0.803207	0.811815	0.761508	0.770136	0.744812	0.800812	0.809193	0.798862	0.817701	0.816701	0.816602	0.822207	0.828614	0.872705	0.799607	0.811322	0.847173	0.839305	0.867762	0.838558	0.832071	0.856252	0.849021	0.844929	0.859244	0.870694	0.833948	0.843312	0.841175	0.869632	0.876999	0.89	0.876343	0.897148	0.853145	0.855675	0.879222	0.824557	0.807174	0.77365	0.787302	0.712063	0.733874	0.739588	0.806687	0.760912	0.723994	0.704883	0.709147	0	0.744163	0.747822	0.721517	0.73135	0.712199	0.713219	0.713724	0.694166	0.738771	0.770444	0.702087	0.739857	0.747697	0.756033	0.782921	0.76337	0.751666	0.751836	0.751472	0.751516	0.768917	0.783515	0.838798	0.758946	0.829784	0.830446	0.799319	0.823284	0.817844	0.867338	0.825389	0.857881	0.828491	0.83966	0.85283	0.814692	0.826699	0.864536	0.845428	0.823679	0.846528	0.850247	0.824542	0.828667	0.848062	0.840578	0.819838	0.882405	0.861585	0.841523	0.860246	0.825104	0.853088	0.877064	0.874442	0.87563	0.85817	0.884454	0.899213	0.861522	0.915317	0.852561	0.876178	0.846576	0.836751	0.847479	0.842495	0.866837	0.843439	0.839228	0.845157	0.829352	0.860301	0.846091	0.858389	0.854506	0.834944	0.843998	0.845505	0.835606	0.836895	0.845642	0.847223	0.85329	0.852574	0.830777	0.864311	0.845574	0.866872	0.878984	0.848273	0.852688	0.831854	0.827559	0.852025	0.881299	0.866008	0.864913	0.862086	0.862083	0.878182	0.825546	0.85921	0.845635	0.847862	0.863564	0.879983	0.860382	0.885592	0.845363	0.855613	0.875768	0.867558	0.880437	0.829091	0.854469	0.870363	0.864797	0.848409	0.854679	0.840788	0.870483	0.852177	0.860877	0.857803	0.853222	0.85895	0.839887	0.846165	0.843931	0.87057	0.855167	0.873247	0.872672	0.876899	0.881326	0.87561	0.866134	0.900231	0.879983	0.887553	0.871888	0.864985	0.877467	0.876627	0.863799	0.860522	0.861689	0.83879	0.865823	0.875763	0.883802	0.845106	0.85518	0.836084	0.847203	0.843873	0.870401	0.865243	0.866209	0.873785	0.867927	0.864844	0.835866	0.86974	0.851475	0.863243	0.868591	0.842133	0.856969	0.862879	0.869754	0.850937	0.874034	0.854921	0.879541	0.858068
Santa Fe de Antioquia	0.858173	0.845231	0.856906	0.847563	0.816248	0.867756	0.815774	0.817567	0.793014	0.791212	0.831651	0.818421	0.792188	0.794484	0.799943	0.834192	0.794166	0.822613	0.816001	0.799988	0.816536	0.791146	0.819812	0.895341	0.809173	0.847863	0.860825	0.818224	0.867042	0.831802	0.848593	0.864297	0.851654	0.838152	0.865863	0.842912	0.841809	0.859913	0.866003	0.863945	0.878998	0.887418	0.872872	0.889314	0.877121	0.854415	0.859079	0.823229	0.790144	0.774101	0.811589	0.718765	0.74756	0.767968	0.773264	0.772397	0.76513	0.718931	0.734064	0.744163	0	0.741655	0.749395	0.76006	0.741003	0.723785	0.769177	0.720573	0.743828	0.735691	0.74158	0.742489	0.749511	0.792138	0.76571	0.789689	0.790008	0.774963	0.746547	0.771595	0.740833	0.790145	0.830615	0.767352	0.835178	0.847006	0.818611	0.843821	0.833391	0.847043	0.822724	0.807797	0.850552	0.861083	0.820858	0.833932	0.871641	0.878435	0.820737	0.801582	0.846949	0.86789	0.838999	0.834957	0.86556	0.861808	0.835322	0.900769	0.85919	0.872296	0.888381	0.875305	0.868398	0.87098	0.879066	0.891687	0.883968	0.856891	0.872202	0.885489	0.91264	0.876786	0.860797	0.882438	0.857277	0.865125	0.866332	0.875263	0.865862	0.835283	0.846664	0.855961	0.859124	0.86132	0.858462	0.877415	0.850299	0.881225	0.871125	0.844972	0.847777	0.841468	0.843447	0.857172	0.868145	0.845942	0.854728	0.824268	0.869256	0.865847	0.8514	0.860116	0.87636	0.866513	0.862996	0.850274	0.856632	0.85859	0.879298	0.882028	0.879282	0.856855	0.832179	0.862624	0.832198	0.83226	0.849865	0.840189	0.846698	0.849188	0.832253	0.857106	0.850791	0.837208	0.808398	0.85665	0.846735	0.865575	0.847837	0.881802	0.844416	0.859184	0.82306	0.861257	0.843276	0.871573	0.883534	0.852802	0.868815	0.852027	0.874868	0.845392	0.849942	0.847634	0.878265	0.896748	0.860646	0.85529	0.855443	0.871845	0.898812	0.872184	0.873931	0.900258	0.878347	0.866909	0.851825	0.862586	0.864043	0.889616	0.829949	0.905693	0.86044	0.856095	0.83275	0.862234	0.847363	0.847922	0.846136	0.850126	0.852352	0.852193	0.853306	0.845217	0.840396	0.861401	0.839825	0.862957	0.844628	0.887015	0.856778	0.86737	0.851733	0.884092	0.861726	0.854978	0.866025
San Pedro1	0.838913	0.860679	0.831627	0.855743	0.842957	0.855961	0.842934	0.832143	0.810979	0.819519	0.837856	0.842434	0.791932	0.82419	0.805149	0.824499	0.810775	0.830028	0.817501	0.808751	0.840509	0.807181	0.843522	0.850048	0.809828	0.811672	0.844585	0.834738	0.845208	0.811245	0.819048	0.868984	0.819537	0.842206	0.832756	0.81961	0.829342	0.843404	0.850195	0.841471	0.844874	0.885373	0.871647	0.883214	0.87465	0.84517	0.875928	0.866115	0.771382	0.783761	0.807144	0.723934	0.723177	0.779538	0.813221	0.770369	0.759604	0.725439	0.754609	0.747822	0.741655	0	0.74289	0.73618	0.77291	0.78992	0.755052	0.753129	0.763714	0.779308	0.785843	0.790843	0.773199	0.775775	0.761433	0.776695	0.799605	0.809102	0.756643	0.765889	0.780831	0.79341	0.858198	0.783476	0.863727	0.872967	0.81149	0.832059	0.817582	0.850614	0.847719	0.833911	0.846388	0.844816	0.87982	0.839287	0.84539	0.876395	0.84036	0.867012	0.841485	0.848685	0.861183	0.857248	0.871459	0.846702	0.830237	0.891415	0.837216	0.847079	0.859011	0.864009	0.861872	0.826971	0.863303	0.849444	0.848394	0.864729	0.867676	0.867955	0.890671	0.865002	0.854084	0.859748	0.834913	0.857037	0.844695	0.861468	0.848943	0.86323	0.854761	0.838741	0.854933	0.863211	0.856587	0.85703	0.851789	0.864929	0.850261	0.846967	0.844887	0.830355	0.840456	0.8635	0.85565	0.858231	0.830053	0.835625	0.835109	0.859124	0.831056	0.859993	0.87268	0.881034	0.860696	0.868961	0.833439	0.838731	0.852896	0.848936	0.865258	0.830857	0.854172	0.837669	0.857456	0.854882	0.849394	0.844104	0.856211	0.867007	0.881977	0.831134	0.859195	0.875829	0.831435	0.859696	0.849579	0.861695	0.840134	0.861192	0.835151	0.880759	0.872393	0.855155	0.853529	0.861049	0.85635	0.852526	0.817875	0.832241	0.836006	0.843671	0.853415	0.842863	0.877813	0.883121	0.824493	0.872926	0.877633	0.888795	0.881759	0.868123	0.882521	0.876629	0.875584	0.877665	0.862262	0.862707	0.874698	0.879069	0.864482	0.887449	0.858323	0.858072	0.854536	0.863756	0.874105	0.895986	0.857566	0.875698	0.878386	0.876423	0.861403	0.859613	0.864881	0.859225	0.821211	0.877048	0.858187	0.859335	0.846977	0.863447	0.837914	0.857324	0.837699	0.848612	0.863816
